level,time,clicks,feedback_method,mode
1,7,5,directional,visual
2,13,8,directional,visual
3,12,8,directional,visual
1,6,4,directional,visual
2,14,7,directional,visual
3,7,5,directional,visual
1,7,4,directional,visual
2,5,4,directional,visual
3,12,9,directional,visual
1,6,5,directional,visual
2,10,9,directional,visual
3,9,8,directional,visual
1,2,2,directional,visual
2,11,8,directional,visual
3,9,7,directional,visual
1,7,4,directional,visual
2,8,6,directional,visual
3,13,8,directional,visual
1,22,5,beep_rate,visual
2,32,10,beep_rate,visual
3,46,12,beep_rate,visual
1,6,4,beep_rate,visual
2,18,6,beep_rate,visual
3,20,9,beep_rate,visual
1,13,7,beep_rate,visual
2,13,6,beep_rate,visual
3,22,11,beep_rate,visual
1,5,3,beep_rate,visual
2,5,2,beep_rate,visual
3,14,6,beep_rate,visual
1,14,6,beep_rate,visual
2,34,14,beep_rate,visual
3,48,20,beep_rate,visual
1,11,4,beep_rate,visual
2,24,7,beep_rate,visual
3,85,24,beep_rate,visual
1,18,6,pitch,visual
2,22,8,pitch,visual
3,26,8,pitch,visual
1,21,9,pitch,visual
2,8,4,pitch,visual
3,17,7,pitch,visual
1,4,2,pitch,visual
2,16,9,pitch,visual
3,20,9,pitch,visual
1,17,9,pitch,visual
2,22,12,pitch,visual
3,21,10,pitch,visual
1,13,7,pitch,visual
2,22,10,pitch,visual
3,24,11,pitch,visual
1,28,9,pitch,visual
2,80,28,pitch,visual
3,91,22,pitch,visual
1,0,1,relative,visual
2,44,15,relative,visual
3,75,25,relative,visual
1,17,7,relative,visual
2,9,6,relative,visual
3,28,9,relative,visual
1,11,5,relative,visual
2,14,9,relative,visual
3,11,7,relative,visual
1,5,5,relative,visual
2,26,13,relative,visual
3,33,16,relative,visual
1,52,19,relative,visual
2,12,10,relative,visual
3,21,20,relative,visual
1,12,6,relative,visual
2,41,12,relative,visual
3,28,16,relative,visual
1,11,3,volume,visual
2,17,5,volume,visual
3,62,16,volume,visual
1,3,2,volume,visual
2,14,7,volume,visual
3,32,11,volume,visual
1,9,4,volume,visual
2,12,6,volume,visual
3,51,22,volume,visual
1,17,7,volume,visual
2,6,3,volume,visual
3,16,7,volume,visual
1,15,8,volume,visual
2,19,6,volume,visual
3,12,5,volume,visual
1,23,8,volume,visual
2,17,6,volume,visual
3,57,16,volume,visual
1,7,6,directional,haptic
2,5,3,directional,haptic
3,7,3,directional,haptic
1,7,3,directional,haptic
2,14,6,directional,haptic
3,18,9,directional,haptic
1,5,5,directional,haptic
2,11,12,directional,haptic
3,17,13,directional,haptic
1,6,5,directional,haptic
2,6,4,directional,haptic
3,7,5,directional,haptic
1,11,7,directional,haptic
2,8,6,directional,haptic
3,13,11,directional,haptic
1,8,4,directional,haptic
2,12,10,directional,haptic
3,38,31,directional,haptic
1,24,7,relative,haptic
2,38,14,relative,haptic
3,64,18,relative,haptic
1,26,6,relative,haptic
2,33,10,relative,haptic
3,56,14,relative,haptic
1,6,4,relative,haptic
2,27,12,relative,haptic
3,17,10,relative,haptic
1,23,11,relative,haptic
2,44,17,relative,haptic
3,50,21,relative,haptic
1,11,5,relative,haptic
2,20,11,relative,haptic
3,21,10,relative,haptic
1,10,6,relative,haptic
2,19,10,relative,haptic
3,25,16,relative,haptic
1,22,8,beep_rate,haptic
2,41,18,beep_rate,haptic
3,79,27,beep_rate,haptic
1,1,1,beep_rate,haptic
2,36,11,beep_rate,haptic
3,25,6,beep_rate,haptic
1,30,12,beep_rate,haptic
2,11,5,beep_rate,haptic
3,40,21,beep_rate,haptic
1,26,9,beep_rate,haptic
2,12,4,beep_rate,haptic
3,24,10,beep_rate,haptic
1,14,7,beep_rate,haptic
2,27,17,beep_rate,haptic
3,31,15,beep_rate,haptic
1,66,31,beep_rate,haptic
2,95,57,beep_rate,haptic
3,190,130,beep_rate,haptic
1,20,7,volume,haptic
2,15,5,volume,haptic
3,34,14,volume,haptic
1,21,6,volume,haptic
2,64,18,volume,haptic
3,33,11,volume,haptic
1,13,8,volume,haptic
2,21,11,volume,haptic
3,24,13,volume,haptic
1,17,8,volume,haptic
2,25,13,volume,haptic
3,79,34,volume,haptic
1,10,9,volume,haptic
2,39,21,volume,haptic
3,66,23,volume,haptic
1,31,22,volume,haptic
2,17,10,volume,haptic
3,249,210,volume,haptic
1,5.16,6,directional,audio
2,11.04,10,directional,audio
3,7.59,6,directional,audio
1,6.27,7,beep_rate,audio
2,12.81,13,beep_rate,audio
3,27.53,26,beep_rate,audio
1,5.27,5,pitch,audio
2,6.42,8,pitch,audio
3,8,10,pitch,audio
1,5.04,6,relative,audio
2,5.49,6,relative,audio
3,19.58,18,relative,audio
1,4.13,6,volume,audio
2,11.68,15,volume,audio
3,18.16,26,volume,audio
1,12.87,7,pitch,audio
2,7.33,6,pitch,audio
3,13.31,14,pitch,audio
1,2.52,2,volume,audio
2,35.15,31,volume,audio
3,93.49,107,volume,audio
1,7.35,4,directional,audio
2,8.4,5,directional,audio
3,10.37,7,directional,audio
1,9.43,5,relative,audio
2,30.79,9,relative,audio
3,26.87,17,relative,audio
1,16.76,8,beep_rate,audio
2,12.56,7,beep_rate,audio
3,14.75,7,beep_rate,audio
1,2.22,2,pitch,audio
2,12.85,15,pitch,audio
3,15.83,20,pitch,audio
1,3.79,5,volume,audio
2,22.99,35,volume,audio
3,25.37,44,volume,audio
1,6.36,7,directional,audio
2,3.24,4,directional,audio
3,8.07,7,directional,audio
1,4.23,7,relative,audio
2,5.99,8,relative,audio
3,14.16,19,relative,audio
1,12.73,22,beep_rate,audio
2,4.99,6,beep_rate,audio
3,27.99,20,beep_rate,audio
1,22.93,6,pitch,audio
2,36.11,24,pitch,audio
3,45.44,49,pitch,audio
1,12.09,11,volume,audio
2,20.29,22,volume,audio
3,94.66,75,volume,audio
1,5.08,2,directional,audio
2,9.01,4,directional,audio
3,7.93,4,directional,audio
1,18.93,9,relative,audio
2,10.44,6,relative,audio
3,24.35,15,relative,audio
1,22.09,15,beep_rate,audio
2,99.75,86,beep_rate,audio
3,51.44,39,beep_rate,audio
1,28,12,pitch,audio
2,37.95,19,pitch,audio
3,18.44,10,pitch,audio
1,2.05,1,volume,audio
2,15.37,11,volume,audio
3,188.6,185,volume,audio
1,5.38,2,directional,audio
2,13.16,7,directional,audio
3,18.61,9,directional,audio
1,31.88,20,relative,audio
2,97.89,72,relative,audio
3,18.29,10,relative,audio
1,13.33,3,beep_rate,audio
2,20.8,13,beep_rate,audio
3,28.15,16,beep_rate,audio
1,36.12,10,pitch,audio
2,8.45,6,pitch,audio
3,23.29,28,pitch,audio
1,7.91,7,volume,audio
2,21.35,27,volume,audio
3,23.86,31,volume,audio
1,9.48,5,directional,audio
2,12.81,5,directional,audio
3,9.68,4,directional,audio
1,1.91,1,relative,audio
2,39.2,15,relative,audio
3,25.76,10,relative,audio
1,20.06,10,beep_rate,audio
2,5.47,3,beep_rate,audio
3,15.61,10,beep_rate,audio
